v0,v1
1.083356892,1
1.001556485,1.06279052
1.046378973,1.125333234
1.054983016,1.187381315
1.023322565,1.248689887
1.07741037,1.309016994
1.064203564,1.368124553
1.092584649,1.425779292
1.041673288,1.481753674
1.013424453,1.535826795
1.081428178,1.587785252
1.072436723,1.63742399
1.053983408,1.684547106
1.024316921,1.728968627
1.059912513,1.770513243
1.056392225,1.809016994
1.035155425,1.844327926
1.064635659,1.87630668
1.060971963,1.904827052
1.058076472,1.929776486
1.072620384,1.951056516
1.009910539,1.968583161
1.010936725,1.982287251
1.013558672,1.992114701
1.098629699,1.998026728
1.087453204,2
1.058761576,1.998026728
1.006891434,1.992114701
1.042747936,1.982287251
1.046187439,1.968583161
1.090040846,1.951056516
1.045411324,1.929776486
1.001317061,1.904827052
1.077250794,1.87630668
1.081199695,1.844327926
1.036564363,1.809016994
1.042418766,1.770513243
1.034663938,1.728968627
1.081409626,1.684547106
1.045180322,1.63742399
1.078069592,1.587785252
1.015204311,1.535826795
1.000164401,1.481753674
1.001502146,1.425779292
1.004607956,1.368124553
1.008309104,1.309016994
1.06165173,1.248689887
1.082757279,1.187381315
1.09751665,1.125333234
1.097007696,1.06279052
1.096973813,1
1.00676204,0.93720948
1.063695208,0.874666766
1.093464953,0.812618685
1.010796601,0.751310113
1.012130781,0.690983006
1.064183846,0.631875447
1.036552498,0.574220708
1.081286852,0.518246326
1.011761975,0.464173205
1.02256367,0.412214748
1.097159137,0.36257601
1.020908789,0.315452894
1.066750815,0.271031373
1.01217103,0.229486757
1.087751682,0.190983006
1.044370717,0.155672074
1.063189608,0.12369332
1.080513713,0.095172948
1.093661198,0.070223514
1.010893567,0.048943484
1.003127647,0.031416839
1.022020447,0.017712749
1.027972443,0.007885299
1.06785989,0.001973272
1.001327346,0
1.091298413,0.070223514
1.019295002,0.095172948
1.09172666,0.12369332
1.035344961,0.155672074
1.066212859,0.190983006
1.059874325,0.229486757
1.049137411,0.271031373
1.050017085,0.315452894
1.034858643,0.36257601
1.03745397,0.412214748
1.060193654,0.464173205
1.090123886,0.518246326
1.0887053,0.574220708
1.088466984,0.631875447
